Oyuncu_Adi;Yas;Saha;Rakip;Oynama_Sure;Sayi;Rebound;Asist;PIR;Etki;Seyahat_Mesafe;Seyahat_Sure;Dinlenme_Sure;Tarih;Round;RakipForm;fg2;fg3
Will Clyburn;33;0;Valencia Basket;34;13;6;2;18;0;0;0;2;20.10.2023;4;0,8;0,71;0
Scottie Wilbekin;31;0;LDLC ASVEL Villeurbanne;20;18;2;2;18;6;0;0;1;19.10.2023;4;0;0,6;0,43
Nigel Hayes-Davis;31;0;LDLC ASVEL Villeurbanne;27;14;3;4;15;24;0;0;1;19.10.2023;4;0;1;0,33
Rodrigue Beaubois;36;0;Valencia Basket;23;14;2;4;14;12;0;0;2;20.10.2023;4;0,8;0,57;0,33
Darius Thompson;28;0;Valencia Basket;28;13;1;5;12;2;0;0;2;20.10.2023;4;0,8;0,8;0,25
Derek Willis;28;0;Valencia Basket;24;7;4;3;11;10;0;0;2;20.10.2023;4;0,8;1;0,25
Dyshawn Pierre;30;0;LDLC ASVEL Villeurbanne;22;7;3;1;8;-8;0;0;1;19.10.2023;4;0;1;0,2
Marko Guduric;29;0;LDLC ASVEL Villeurbanne;27;14;3;4;8;5;0;0;1;19.10.2023;4;0;0,5;0,29
Scottie Wilbekin;31;1;FC Bayern Munich;23;17;5;5;23;13;1571;110;7;27.10.2023;5;0,4;0,5;0,57
Marko Guduric;29;1;FC Bayern Munich;29;14;6;1;15;2;1571;110;4;27.10.2023;5;0,4;0,5;0,25
Nigel Hayes-Davis;31;1;FC Bayern Munich;31;9;6;2;10;1;1571;110;4;27.10.2023;5;0,4;0,33;0,2
Dyshawn Pierre;30;1;FC Bayern Munich;21;6;6;0;9;-7;1571;110;7;27.10.2023;5;0,4;0,5;0
Nick Calathes;35;1;FC Bayern Munich;19;4;2;0;0;-5;1571;110;4;27.10.2023;5;0,4;0,33;0
Shane Larkin;31;1;Olympiacos Piraeus;29;8;1;5;10;-19;616;150;5;26.10.2023;5;0,6;0,33;0,4
Elijah Bryant;29;1;Olympiacos Piraeus;23;10;2;2;10;-12;616;150;7;26.10.2023;5;0,6;0,5;0,2
Will Clyburn;33;1;Olympiacos Piraeus;26;5;9;1;7;-13;616;150;5;26.10.2023;5;0,6;0,25;0,17
Derek Willis;28;1;Olympiacos Piraeus;22;8;1;1;7;-11;616;150;3;26.10.2023;5;0,6;0,5;0,4
