Oyuncu_Adi;Yas;Saha;Rakip;Oynama_Sure;Sayi;Rebound;Asist;PIR;Etki;Seyahat_Mesafe;Seyahat_Sure;Dinlenme_Sure;Tarih;Round;RakipForm;fg2;fg3
Shane Larkin;31;0;FC Barcelona;33;15;2;8;23;24;0;0;5;18.01.2024;22;0,71;0,5;0,5
Elijah Bryant;29;0;FC Barcelona;32;6;5;7;16;18;0;0;3;18.01.2024;22;0,71;1;0
Derek Willis;28;0;FC Barcelona;26;6;7;1;8;21;0;0;3;18.01.2024;22;0,71;0;0,4
Darius Thompson;28;0;FC Barcelona;25;7;1;2;0;6;0;0;3;18.01.2024;22;0,71;0,4;0,33
Shane Larkin;31;0;AS Monaco;24;14;2;5;19;-3;0;0;7;26.01.2024;23;0,57;0,75;0,33
Scottie Wilbekin;31;0;Virtus Segafredo Bologna;31;15;4;6;17;21;0;0;3;25.01.2024;23;0,43;0,75;0,25
Marko Guduric;29;0;Virtus Segafredo Bologna;30;10;2;4;16;9;0;0;3;25.01.2024;23;0,43;1;0
Rodrigue Beaubois;36;0;AS Monaco;29;15;1;3;15;9;0;0;4;26.01.2024;23;0,57;0,5;0,5
Elijah Bryant;29;0;AS Monaco;27;12;4;3;10;13;0;0;7;26.01.2024;23;0,57;0,33;1
Derek Willis;28;0;AS Monaco;25;13;3;0;10;0;0;0;4;26.01.2024;23;0,57;1;0,75
Nick Calathes;35;0;Virtus Segafredo Bologna;23;5;7;2;6;20;0;0;3;25.01.2024;23;0,43;0,33;0
Darius Thompson;28;0;AS Monaco;26;9;2;1;4;-12;0;0;4;26.01.2024;23;0,57;0,33;0,2
Will Clyburn;33;0;AS Monaco;24;8;3;0;2;-7;0;0;4;26.01.2024;23;0,57;0,25;0,33
Scottie Wilbekin;31;1;LDLC ASVEL Villeurbanne;33;17;3;5;17;22;2003;205;4;30.01.2024;24;0,43;0,5;0,56
Nick Calathes;35;1;LDLC ASVEL Villeurbanne;28;8;4;8;16;9;2003;205;4;30.01.2024;24;0,43;0,8;0
Marko Guduric;29;1;LDLC ASVEL Villeurbanne;23;7;6;5;16;1;2003;205;2;30.01.2024;24;0,43;0;0,2
Will Clyburn;33;1;Zalgiris Kaunas;36;19;3;4;23;-18;1627;249;4;31.01.2024;24;0,57;0,62;0,6
Darius Thompson;28;1;Zalgiris Kaunas;24;17;2;1;16;-8;1627;249;4;31.01.2024;24;0,57;0,33;0,75
Shane Larkin;31;1;Zalgiris Kaunas;26;8;1;2;5;-38;1627;249;2;31.01.2024;24;0,57;0;0,5
Rodrigue Beaubois;36;1;Zalgiris Kaunas;21;5;1;3;4;1;1627;249;2;31.01.2024;24;0,57;0;0,2
Derek Willis;28;1;Zalgiris Kaunas;24;2;4;1;2;-7;1627;249;2;31.01.2024;24;0,57;0,5;0
Elijah Bryant;29;1;Zalgiris Kaunas;13;3;0;0;-3;-18;1627;249;2;31.01.2024;24;0,57;0;1
Nick Calathes;35;1;AS Monaco;25;10;4;3;9;-5;493;300;2;2.02.2024;25;1;1;0,5
Scottie Wilbekin;31;1;AS Monaco;32;11;2;5;6;-3;493;300;2;2.02.2024;25;1;0,33;0,3
Nigel Hayes-Davis;31;1;AS Monaco;22;4;6;1;6;-4;493;300;7;2.02.2024;25;1;0;0
Marko Guduric;29;1;AS Monaco;22;2;1;1;-8;-12;493;300;2;2.02.2024;25;1;0,33;0
Shane Larkin;31;0;Emporia Armani Milano;32;19;4;6;24;2;248;50;1;2.02.2024;25;0,5;0,57;0,43
Derek Willis;28;0;Emporia Armani Milano;34;9;8;0;14;17;248;50;1;2.02.2024;25;0,5;0,5;0,25
